id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,pais2,indicador,detalle_indicador,disclaimer
ARG_ERCE13-192013,"Hogares media calificación, ciencia",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.000906705856323,11,11,11,"Calificación, ciencia",6,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Hogares alta calificación, ciencia",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.036593317985535,12,12,12,"Calificación, ciencia",6,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Total, matemática",ARG_ERCE13-19,ERCE 2019,2019,.9855248928070068,1,1,1,"Total, matemática",1,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares baja calificación, matemática",ARG_ERCE13-19,ERCE 2019,2019,.9869980812072754,2,2,2,"Calificación, matemática",2,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares media calificación, matemática",ARG_ERCE13-19,ERCE 2019,2019,.9823956489562988,3,3,3,"Calificación, matemática",2,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares alta calificación, matemática",ARG_ERCE13-19,ERCE 2019,2019,.9881852269172668,4,4,4,"Calificación, matemática",2,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Total, lectura",ARG_ERCE13-19,ERCE 2019,2019,1.017393708229065,5,5,5,"Total, lectura",3,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares baja calificación, lectura",ARG_ERCE13-19,ERCE 2019,2019,1.023218989372253,6,6,6,"Calificación, lectura",4,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares media calificación, lectura",ARG_ERCE13-19,ERCE 2019,2019,1.009559392929077,7,7,7,"Calificación, lectura",4,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares alta calificación, lectura",ARG_ERCE13-19,ERCE 2019,2019,1.028637528419495,8,8,8,"Calificación, lectura",4,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Total, ciencia",ARG_ERCE13-19,ERCE 2019,2019,1.007485389709473,9,9,9,"Total, ciencia",5,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares baja calificación, ciencia",ARG_ERCE13-19,ERCE 2019,2019,1.014850616455078,10,10,10,"Calificación, ciencia",6,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares media calificación, ciencia",ARG_ERCE13-19,ERCE 2019,2019,1.000975728034973,11,11,11,"Calificación, ciencia",6,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192019,"Hogares alta calificación, ciencia",ARG_ERCE13-19,ERCE 2019,2019,1.016213178634644,12,12,12,"Calificación, ciencia",6,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
