id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
CHL2013,"Hogares media calificación, lectura",CHL,(T)ERCE,2013,1.015352010726929,7,7,7,"Calificación, lectura",4,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2013,"Hogares alta calificación, lectura",CHL,(T)ERCE,2013,1.004768967628479,8,8,8,"Calificación, lectura",4,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2006,"Total, matemática",COL,(S)ERCE,2006,.9836100339889526,1,1,1,"Total, matemática",1,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2006,"Hogares baja calificación, matemática",COL,(S)ERCE,2006,.9796217679977417,2,2,2,"Calificación, matemática",2,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2006,"Hogares media calificación, matemática",COL,(S)ERCE,2006,.9985249638557434,3,3,3,"Calificación, matemática",2,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2006,"Hogares alta calificación, matemática",COL,(S)ERCE,2006,.9614378809928894,4,4,4,"Calificación, matemática",2,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2006,"Total, lectura",COL,(S)ERCE,2006,1.009118914604187,5,5,5,"Total, lectura",3,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2006,"Hogares baja calificación, lectura",COL,(S)ERCE,2006,1.004326939582825,6,6,6,"Calificación, lectura",4,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2006,"Hogares media calificación, lectura",COL,(S)ERCE,2006,1.023934006690979,7,7,7,"Calificación, lectura",4,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2006,"Hogares alta calificación, lectura",COL,(S)ERCE,2006,1.00847601890564,8,8,8,"Calificación, lectura",4,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
